,Unnamed: 0,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement,Marks,original_filename,Analytic,Clout,Authentic,Tone,WPS,BigWords,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,mqScore,scQual,scIdeology,nytSalience,cqSalience,final_length,citations_weight,mqavg,mqstd,mqdist,cog_complex,salience,main,cog_inc
0,0,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-01,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,86,HHBurton,2,1,1,1,79,,1,,,,,,,,,,,,,,,,,0.554,0.930000007,0.280000001,1,0,,,-0.355111111,1.247933436,0.728493271,,1,0,0.380587609
1,1,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-02,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,84,RHJackson,,,,,,,1,,,,,,,,,,,,,,,,,1.052,0.915000021,1,1,0,,,-0.355111111,1.247933436,1.127553017,,1,0,0.44890087
2,2,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-03,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,81,WODouglas,1,1,2,2,,,1,,,,,,,,,,,,,,,,,-1.419,0.819999993,0.730000019,1,0,,,-0.355111111,1.247933436,-0.852520542,,1,0,0.422606463
3,3,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-04,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,80,FFrankfurter,1,1,2,2,,,1,,,,,,,,,,,,,,,,,1.032,0.964999974,0.665000021,1,0,,,-0.355111111,1.247933436,1.111526521,,1,0,0.513515433
4,4,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-05,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,79,SFReed,2,2,1,1,,,1,329US40_section_04_REED_cleaned.txt,94.76,28.51,32.61,35.06,15.97,24.03,17.99,0.72,10.75,2.39,1.74,0.8,2.1,0.4,4.92,0.253,0.875,0.725000024,1,0,16672,1.739443378,-0.355111111,1.247933436,0.487294509,-0.578545776,1,0,0.482835511
5,5,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-06,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,78,HLBlack,4,2,2,2,,,1,,,,,,,,,,,,,,,,,-1.932,0.159999996,0.875,1,0,,,-0.355111111,1.247933436,-1.263600159,,1,0,0.441001697
6,6,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-07,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,85,WBRutledge,2,1,1,1,79,,1,,,,,,,,,,,,,,,,,-1.404,1,1,1,0,,,-0.355111111,1.247933436,-0.84050067,,1,0,0.691399768
7,7,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-08,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,82,FMurphy,1,1,2,2,,,1,,,,,,,,,,,,,,,,,-1.772,0.649999976,1,1,0,,,-0.355111111,1.247933436,-1.135388193,,1,0,
8,8,1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-09,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,87,FMVinson,5,2,2,2,,,1,329US40_section_02_VINSON_cleaned.txt,97.1,25.28,29.71,33.83,15.81,24.07,17.01,0.73,9.76,1.92,1.4,0.73,1.85,0.54,4.29,0.44,0.785000026,0.75,1,0,25710,2.489303773,-0.355111111,1.247933436,0.637142245,-0.84684938,1,1,0.575225793
9,9,1946-033,1946-033-01,1946-033-01-01,1946-033-01-01-01-01,1/13/1947,7,329 U.S. 459,67 S. Ct. 374,91 L. Ed. 422,1947 U.S. LEXIS 2777,1946,1301,Vinson,142,"LOUISIANA EX REL. FRANCIS v. RESWEBER, SHERIFF, ET AL.",11/18/1946,,126,,28,22,1,,,0,302,22,300,22,0,11,9,1,1,2,0,0,0,0,10130,1,1,0,2,,2,231,,79,87,1,5,4,86,HHBurton,2,2,2,1,,,1,329US459_section_03_BURTON_cleaned.txt,94.76,29.17,30.65,6.69,19.69,28.06,19.75,0.86,9.3,1.75,1.52,1.02,1.59,0.6,3.71,0.554,0.930000007,0.280000001,0,1,19093,0.26187608,-0.355111111,1.247933436,0.728493271,-0.643949886,1,0,0.380587609
